taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- 0
153 -- 1 -- 458 -- 1338 -- 318 -- 93.26343900000001 -- 0.252 -- 2
149 -- 1 -- 456 -- 1336 -- 318 -- 93.543694 -- 0.254 -- 2
162 -- 1 -- 338 -- 1215 -- 318 -- 88.595485 -- 0.237 -- 2
151 -- 1 -- 458 -- 1339 -- 318 -- 93.608468 -- 0.255 -- 2
152 -- 1 -- 458 -- 1338 -- 318 -- 93.617769 -- 0.255 -- 2
147 -- 1 -- 456 -- 1336 -- 318 -- 93.71551599999999 -- 0.259 -- 2
148 -- 1 -- 458 -- 1338 -- 318 -- 93.767458 -- 0.257 -- 2
393 -- 1 -- 460 -- 1334 -- 318 -- 24.892196 -- 0.984 -- 2
154 -- 1 -- 458 -- 1338 -- 318 -- 93.832948 -- 0.256 -- 2
150 -- 1 -- 459 -- 1339 -- 318 -- 94.36968299999999 -- 0.264 -- 2
392 -- 1 -- 460 -- 1340 -- 318 -- 25.704616 -- 0.998 -- 2
266 -- 1 -- 458 -- 1338 -- 318 -- 62.717971 -- 0.391 -- 2
155 -- 1 -- 459 -- 1339 -- 318 -- 94.49037 -- 0.261 -- 2
453 -- 1 -- 100 -- 405 -- 320 -- 2.734062 -- 0.989 -- 3
156 -- 1 -- 456 -- 1336 -- 318 -- 95.668246 -- 0.259 -- 2
243 -- 1 -- 458 -- 1338 -- 318 -- 69.056 -- 0.369 -- 2
465 -- 1 -- 102 -- 408 -- 321 -- 2.937324 -- 0.994 -- 3
158 -- 1 -- 464 -- 1338 -- 318 -- 91.95357 -- 0.27 -- 2
157 -- 1 -- 456 -- 1336 -- 318 -- 91.963926 -- 0.271 -- 2
159 -- 1 -- 462 -- 1336 -- 318 -- 92.206901 -- 0.267 -- 2
475 -- 1 -- 100 -- 405 -- 320 -- 2.474831 -- 0.989 -- 3
161 -- 1 -- 458 -- 1338 -- 318 -- 92.27798900000001 -- 0.267 -- 2
160 -- 1 -- 454 -- 1334 -- 318 -- 92.33332799999999 -- 0.267 -- 2
332 -- 1 -- 99 -- 404 -- 320 -- 23.029373 -- 0.126 -- 3
394 -- 1 -- 460 -- 1334 -- 318 -- 29.148407 -- 0.824 -- 2
414 -- 1 -- 456 -- 1336 -- 318 -- 24.101992 -- 1 -- 2
415 -- 1 -- 430 -- 1304 -- 318 -- 24.565937 -- 1 -- 2
384 -- 1 -- 251 -- 1129 -- 318 -- 32.632396 -- 0.632 -- 2
485 -- 1 -- 103 -- 409 -- 322 -- 2.907991 -- 0.994 -- 3
242 -- 1 -- 453 -- 1334 -- 318 -- 73.233047 -- 0.361 -- 2
244 -- 1 -- 458 -- 1338 -- 318 -- 73.42286 -- 0.352 -- 2
