task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
633 -- 1 -- 254 -- 0 -- 670 -- 23.237 -- 0 -- 2
635 -- 1 -- 271 -- 0 -- 670 -- 16.924 -- 0 -- 2
637 -- 1 -- 288 -- 0 -- 714 -- 7.403 -- 0 -- 2
639 -- 1 -- 287 -- 0 -- 714 -- 8.764 -- 0 -- 2
642 -- 1 -- 295 -- 0 -- 670 -- 29.134 -- 0 -- 2
647 -- 1 -- 257 -- 0 -- 670 -- 28.06 -- 0 -- 2
648 -- 1 -- 285 -- 0 -- 714 -- 10.498 -- 0 -- 2
652 -- 1 -- 287 -- 0 -- 714 -- 10.973 -- 0 -- 2
662 -- 1 -- 277 -- 0 -- 670 -- 24 -- 0 -- 2
671 -- 1 -- 286 -- 0 -- 714 -- 8.587 -- 0 -- 2
672 -- 1 -- 244 -- 0 -- 670 -- 15.629 -- 0 -- 2
677 -- 1 -- 284 -- 0 -- 714 -- 10.888 -- 0 -- 2
680 -- 1 -- 263 -- 0 -- 670 -- 22.951 -- 0 -- 2
684 -- 1 -- 284 -- 0 -- 714 -- 10.776 -- 0 -- 2
687 -- 1 -- 241 -- 0 -- 670 -- 22.591 -- 0 -- 2
688 -- 1 -- 285 -- 0 -- 714 -- 9.257 -- 0 -- 2
692 -- 1 -- 239 -- 0 -- 670 -- 28.174 -- 0 -- 2
694 -- 1 -- 257 -- 0 -- 670 -- 29.438 -- 0 -- 2
695 -- 1 -- 286 -- 0 -- 714 -- 7.404 -- 0 -- 2
700 -- 1 -- 239 -- 0 -- 670 -- 20.017 -- 0 -- 2
703 -- 1 -- 244 -- 0 -- 670 -- 25.16 -- 0 -- 2
707 -- 1 -- 259 -- 0 -- 670 -- 24.944 -- 0 -- 2
709 -- 1 -- 251 -- 0 -- 670 -- 28.971 -- 0 -- 2
712 -- 1 -- 287 -- 0 -- 714 -- 7.609 -- 0 -- 2
716 -- 1 -- 256 -- 0 -- 670 -- 23.304 -- 0 -- 2
720 -- 1 -- 229 -- 0 -- 670 -- 17.691 -- 0 -- 2
728 -- 1 -- 286 -- 0 -- 714 -- 7.854 -- 0 -- 2
729 -- 1 -- 244 -- 0 -- 670 -- 27.172 -- 0 -- 2
730 -- 1 -- 284 -- 0 -- 714 -- 10.576 -- 0 -- 2
732 -- 1 -- 287 -- 0 -- 714 -- 8.645 -- 0 -- 2
733 -- 1 -- 236 -- 0 -- 670 -- 23.835 -- 0 -- 2
735 -- 1 -- 258 -- 0 -- 670 -- 24.32 -- 0 -- 2
737 -- 1 -- 287 -- 0 -- 714 -- 7.436 -- 0 -- 2
738 -- 1 -- 290 -- 0 -- 670 -- 25.466 -- 0 -- 2
739 -- 1 -- 287 -- 0 -- 714 -- 7.376 -- 0 -- 2
742 -- 1 -- 290 -- 0 -- 670 -- 18.454 -- 0 -- 2
750 -- 1 -- 285 -- 0 -- 714 -- 9.223 -- 0 -- 2
755 -- 1 -- 259 -- 0 -- 670 -- 27.086 -- 0 -- 2
767 -- 1 -- 286 -- 0 -- 714 -- 7.793 -- 0 -- 2
769 -- 1 -- 256 -- 0 -- 670 -- 17.603 -- 0 -- 2
